"start_year";"EinheitenTyp";"ags_federal_state";"n";"mean";"sum";"pop_obliged_to_income_taxes";"total_income_in_1000_euro";"total_taxes_on_income_in_1000_euro";"voters_eligible";"voter_turnout";"votes_valid";"votes_cdu_csu";"votes_spd";"votes_greens";"votes_fdp";"votes_the_left";"votes_afd";"votes_other_parties"
1912;"Solareinheit";"01";1;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1912;"Solareinheit";"03";1;8,085;8,085;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1912;"Solareinheit";"05";1;3,84;3,84;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1912;"Solareinheit";"06";1;14,24;14,24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1912;"Solareinheit";"07";2;3,25;6,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1912;"Wasser";"07";1;15;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1912;"Gas";"08";1;0,95;0,95;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1912;"Solareinheit";"08";5;18,052;90,26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1912;"Wasser";"08";3;88,3333333333333;265;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1912;"Solareinheit";"09";2;8,18;16,36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1912;"Wasser";"09";4;21,5;86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1912;"Solareinheit";"10";1;4,37;4,37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1912;"Solareinheit";"12";1;4,578;4,578;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1913;"Solareinheit";"05";2;3,73;7,46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1913;"Wasser";"05";1;180;180;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1913;"Solareinheit";"08";1;8;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1913;"Wasser";"08";1;13;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1913;"Solareinheit";"09";1;6,05;6,05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1913;"Wasser";"09";4;85,05;340,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1913;"Solareinheit";"16";1;4,6;4,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1914;"Solareinheit";"01";1;4,6;4,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1914;"Stromspeichereinheit";"01";1;2,5;2,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1914;"Solareinheit";"03";1;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1914;"Stromspeichereinheit";"03";1;3,5;3,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1914;"Solareinheit";"05";1;7;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1914;"Stromverbrauchseinheit";"05";1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1914;"Solareinheit";"06";1;6,75;6,75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1914;"Solareinheit";"08";1;8;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1914;"Solareinheit";"09";1;16;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1915;"Solareinheit";"06";1;1,8;1,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1915;"Wasser";"07";1;22;22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
