"MastrID";"MastrNummer";"Betriebsstatus";"EinheitenTyp";"Lage";"Plz";"Ort";"Bundesland";"Landkreis";"Gemeinde";"ags_municipality";"Breitengrad";"Laengengrad";"Leistungsbegrenzung";"Bruttoleistung";"Nettonennleistung";"Nutzungsbereich";"Energietraeger";"EinspeisungsArt";"start_year";"start_pause";"end_pause";"end_year";"ags_county";"ags_federal_state";"name"
2056983;"SEE926921991466";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,522649;7,765887;NA;3780;3780;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
2056992;"SEE971189396898";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,517171;7,641017;NA;3780;3780;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
2057029;"SEE915542416373";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,517171;7,653833;NA;3780;3780;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
2057042;"SEE973142155108";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,517171;7,666667;NA;3780;3780;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
2059961;"SEE962313155559";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,81242;14,155146;NA;6300;6300;NA;"Wind";"Volleinspeisung";2018;NA;NA;NA;NA;NA;NA
2059990;"SEE921240959043";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,807006;14,159382;NA;6300;6300;NA;"Wind";"Volleinspeisung";2018;NA;NA;NA;NA;NA;NA
2060021;"SEE986317954673";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,801772;14,164504;NA;6300;6300;NA;"Wind";"Volleinspeisung";2018;NA;NA;NA;NA;NA;NA
2060182;"SEE903273259055";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,802143;14,179783;NA;6300;6300;NA;"Wind";"Volleinspeisung";2018;NA;NA;NA;NA;NA;NA
2060216;"SEE987572142072";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,80721;14,125848;NA;6300;6300;NA;"Wind";"Volleinspeisung";2018;NA;NA;NA;NA;NA;NA
2060237;"SEE948213815519";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,80369;14,138364;NA;6300;6300;NA;"Wind";"Volleinspeisung";2018;NA;NA;NA;NA;NA;NA
