"start_year";"EinheitenTyp";"Landkreis";"name";"ags_county";"n";"mean";"sum";"pop_obliged_to_income_taxes";"total_income_in_1000_euro";"total_taxes_on_income_in_1000_euro";"voters_eligible";"voter_turnout";"votes_valid";"votes_cdu_csu";"votes_spd";"votes_greens";"votes_fdp";"vodes_the_left";"votes_afd";"votes_other_parties"
1900;"Wasser";"Emmendingen";"Emmendingen";"08316";1;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Rottweil";"Rottweil";"08325";1;340;340;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Lörrach";"Lörrach";"08336";4;235;940;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Waldshut";"Waldshut";"08337";2;237;474;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Reutlingen";"Reutlingen";"08415";2;42,5;85;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Tübingen";"Tübingen";"08416";1;177;177;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Sigmaringen";"Sigmaringen";"08437";5;176,8;884;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Dachau";"Dachau";"09174";1;150;150;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Ebersberg";"Ebersberg";"09175";3;16;48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Miesbach";"Miesbach";"09182";3;18;54;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Mühldorf a. Inn";"Mühldorf a.Inn";"09183";1;5,5;5,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Rosenheim";"Rosenheim";"09187";1;55;55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Kelheim";"Kelheim";"09273";1;20;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Regen";"Regen";"09276";4;225,625;902,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Cham";"Cham";"09372";1;20;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Regensburg";"Regensburg";"09375";2;40;80;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Erlangen-Höchstadt";"Erlangen-Höchstadt";"09572";1;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Solareinheit";"Main-Spessart";"Main-Spessart";"09677";1;6,75;6,75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Augsburg";"Augsburg";"09772";1;12;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Günzburg";"Günzburg";"09774";2;150;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Solareinheit";"Saarlouis";"Saarlouis";"10044";1;7,6;7,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Erzgebirgskreis";"Erzgebirgskreis";"14521";1;220;220;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1901;"Wasser";"Rottweil";"Rottweil";"08325";1;700;700;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1901;"Wasser";"Reutlingen";"Reutlingen";"08415";2;27,5;55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1901;"Wasser";"Passau";"Passau";"09275";1;245;245;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1901;"Wasser";"Weißenburg-Gunzenhausen";"Weißenburg-Gunzenhausen";"09577";1;15;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1901;"Wasser";"Augsburg";"Augsburg";"09772";5;1969;9845;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1903;"Wasser";"Freudenstadt";"Freudenstadt";"08237";1;11;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
