"start_year";"ags_federal_state";"n";"mean";"sum"
1999;"03";75;577,365493333333;43302,412
1999;"04";9;1,90888888888889;17,18
1999;"05";156;207,538935897436;32376,074
1999;"06";54;2339,70527777778;126344,085
1999;"07";30;796,8704;23906,112
1999;"08";100;110,9895;11098,95
1999;"09";214;99,6263971962617;21320,049
1999;"10";19;9,37105263157895;178,05
1999;"11";10;172,9724;1729,724
1999;"12";49;1901,98571428571;93197,3
1999;"13";58;754,775862068965;43777
1999;"14";37;655,33027027027;24247,22
1999;"15";52;1035,19288461538;53830,03
1999;"16";15;5579,40933333333;83691,14
2000;"01";60;417,030433333333;25021,826
2000;"02";8;688,35;5506,8
2000;"03";227;511,421995594714;116092,793
2000;"04";7;44,8634285714286;314,044
2000;"05";387;182,426284237726;70598,972
2000;"06";153;161,15368627451;24656,514
2000;"07";76;526,837644736842;40039,661
2000;"08";407;45,5973685503686;18558,129
2000;"09";576;35,3861805555556;20382,44
2000;"10";30;22,5805;677,415
2000;"11";4;37,925;151,7
2000;"12";50;763,7504;38187,52
2000;"13";31;998,088709677419;30940,75
2000;"14";33;53273,296969697;1758018,8
2000;"15";68;1013,08014705882;68889,45
2000;"16";32;566,825;18138,4
2001;"01";144;766,939444444444;110439,28
2001;"02";5;241,84;1209,2
2001;"03";494;396,973544534413;196104,931
2001;"04";16;34,3975;550,36
2001;"05";636;213,154160377358;135566,046
2001;"06";320;21,099553125;6751,857
2001;"07";144;131,766555555556;18974,384
2001;"08";1389;25,6526486681066;35631,529
2001;"09";1349;32,1778369162342;43407,902
2001;"10";56;62,9185714285714;3523,44
2001;"11";13;27,1784615384615;353,32
2001;"12";60;1047,39266666667;62843,56
2001;"13";70;989,125485714286;69238,784
2001;"14";67;547,351492537313;36672,55
2001;"15";115;978,164173913043;112488,88
2001;"16";70;104,539028571429;7317,732
2002;"01";67;540,944029850746;36243,25
2002;"02";3;109,356666666667;328,07
2002;"03";383;690,175796344648;264337,33
2002;"04";19;668,260631578947;12696,952
2002;"05";561;326,062377896613;182920,994
2002;"06";238;106,836907563025;25427,184
2002;"07";110;210,260954545455;23128,705
2002;"08";1218;38,6533472906404;47079,777
2002;"09";1166;37,7379528301887;44002,453
2002;"10";27;845,687777777778;22833,57
2002;"11";11;571,886363636364;6290,75
2002;"12";94;1412,84315957447;132807,257
2002;"13";28;820,689285714286;22979,3
2002;"14";72;820,393333333333;59068,32
2002;"15";116;1222,96875;141864,375
2002;"16";61;555,562786885246;33889,33
2003;"01";72;652,764444444444;46999,04
2003;"02";5;104,964;524,82
2003;"03";322;387,951428571429;124920,36
2003;"04";10;3,9714;39,714
2003;"05";575;261,155062608696;150164,161
2003;"06";272;45,6807720588235;12425,17
2003;"07";152;207,979006578947;31612,809
2003;"08";1552;32,0660231958763;49766,468
2003;"09";1345;25,3468780669145;34091,551
2003;"10";21;602,378333333333;12649,945
2003;"11";7;234,794285714286;1643,56
2003;"12";101;1360,7895049505;137439,74
2003;"13";43;1079,49293023256;46418,196
2003;"14";62;553,739112903226;34331,825
2003;"15";78;1263,16673076923;98527,005
2003;"16";59;583,232186440678;34410,699
2004;"01";248;103,241883064516;25603,987
2004;"02";8;150,355;1202,84
2004;"03";843;219,274966785291;184848,797
2004;"04";19;312,691157894737;5941,132
2004;"05";1616;197,003886138614;318358,28
2004;"06";689;67,1297764876633;46252,416
2004;"07";409;156,266459657702;63912,982
2004;"08";2867;46,2570561562609;132618,98
2004;"09";3415;153,48963250366;524167,095
2004;"10";80;350,093625;28007,49
2004;"11";17;13,5794117647059;230,85
2004;"12";95;872,977242105263;82932,838
2004;"13";55;253,962454545455;13967,935
2004;"14";121;250,962545454545;30366,468
2004;"15";93;565,782430107527;52617,766
2004;"16";77;117,430909090909;9042,18
2005;"01";406;99,1663669950739;40261,545
2005;"02";9;6,23111111111111;56,08
2005;"03";1193;159,519910310143;190307,253
2005;"04";23;80,1497826086956;1843,445
2005;"05";2085;200,054662829736;417113,972
2005;"06";1259;103,597815726767;130429,65
2005;"07";725;112,492449655172;81557,026
2005;"08";3842;50,4388282144716;193785,978
2005;"09";4383;42,74370727812;187345,669
2005;"10";137;571,456605839416;78289,555
2005;"11";15;80,5686666666667;1208,53
2005;"12";165;587,2244;96892,026
2005;"13";107;323,485140186916;34612,91
2005;"14";240;147,901470833333;35496,353
2005;"15";111;703,29381981982;78065,614
2005;"16";128;154,516375;19778,096
2006;"01";501;206,200371257485;103306,386
2006;"02";11;327,914090909091;3607,055
2006;"03";1445;152,661690657439;220596,143
2006;"04";33;426,357757575758;14069,806
2006;"05";2152;58,5388183085502;125975,537
2006;"06";1421;103,688054890922;147340,726
2006;"07";973;63,4207163412127;61708,357
2006;"08";3656;26,3971258205689;96507,892
2006;"09";3186;46,5412181418707;148280,321
2006;"10";183;7,45029508196721;1363,404
2006;"11";21;9,65238095238095;202,7
2006;"12";229;567,786694323144;130023,153
2006;"13";112;602,292642857143;67456,776
2006;"14";225;137,444311111111;30924,97
2006;"15";220;725,344977272727;159575,895
2006;"16";192;159,418447916667;30608,342
2007;"01";618;112,543644012945;69551,972
2007;"02";22;4,80590909090909;105,73
2007;"03";1395;117,784406451613;164309,247
2007;"04";24;130,78375;3138,81
2007;"05";2829;482,755285613291;1365714,703
2007;"06";1705;24,1016263929619;41093,273
2007;"07";1086;58,6983443830571;63746,402
2007;"08";4623;39,8186532554618;184081,634
2007;"09";3874;42,6304829633454;165150,491
2007;"10";316;79,5069272151899;25124,189
2007;"11";33;137,180909090909;4526,97
2007;"12";353;182,278107648725;64344,172
2007;"13";181;282,926364640884;51209,672
2007;"14";322;107,820680124224;34718,259
2007;"15";213;261,641234741784;55729,583
2007;"16";211;132,384165876777;27933,059
2008;"01";809;47,1382484548826;38134,843
2008;"02";12;11,2758333333333;135,31
2008;"03";1692;76,1623829787234;128866,752
2008;"04";33;313,441666666667;10343,575
2008;"05";3991;51,581653720872;205862,38
2008;"06";2297;43,926568567697;100899,328
2008;"07";1459;53,9578732008225;78724,537
2008;"08";6502;60,8378891110428;395567,955
2008;"09";5955;43,9848654911839;261929,874
2008;"10";771;25,305215304799;19510,321
2008;"11";37;76,3991891891892;2826,77
2008;"12";367;74,3342397820164;27280,666
2008;"13";173;125,810063583815;21765,141
2008;"14";495;61,5235313131313;30454,148
2008;"15";282;129,022322695035;36384,295
2008;"16";360;96,8182166666667;34854,558
2009;"01";1605;108,46928411215;174093,201
2009;"02";34;29,6175;1006,995
2009;"03";3762;80,4172296650718;302529,618
2009;"04";53;107,464433962264;5695,615
2009;"05";6884;52,1953592388146;359312,853
2009;"06";3230;47,9411705882353;154849,981
2009;"07";2117;57,8957817666509;122565,37
2009;"08";9219;64,8535008135373;597884,424
2009;"09";11812;41,5639718083305;490953,635
2009;"10";860;50,3298395348837;43283,662
2009;"11";85;37,3743529411765;3176,82
2009;"12";759;439,231532279315;333376,733
2009;"13";267;264,954805243446;70742,933
2009;"14";719;90,5916536856745;65135,399
2009;"15";514;194,679529182879;100065,278
2009;"16";543;78,7079889502762;42738,438
2010;"01";2374;145,696148272957;345882,656
2010;"02";43;143,88023255814;6186,85
2010;"03";6051;166,57596165923;1007951,144
2010;"04";121;119,888305785124;14506,485
2010;"05";10206;38,6924594356261;394895,241
2010;"06";4258;46,974950915923;200019,341
2010;"07";2823;69,1184767977329;195121,46
2010;"08";11092;51,0763589974757;566538,974
2010;"09";13402;46,5472955529026;623826,855
2010;"10";1013;21,0869634748272;21361,094
2010;"11";123;191,592154471545;23565,835
2010;"12";883;172,277490373726;152121,024
2010;"13";428;184,568137850467;78995,163
2010;"14";976;95,7053596311475;93408,431
2010;"15";716;128,598303072626;92076,385
2010;"16";715;99,0734461538461;70837,514
2011;"01";2507;143,293746310331;359237,422
2011;"02";82;120,023792682927;9841,951
2011;"03";5924;102,432630823768;606810,905
2011;"04";126;129,819682539683;16357,28
2011;"05";10521;55,1395833095713;580123,556
2011;"06";4481;54,0853920999777;242356,642
2011;"07";3370;80,9361364985163;272754,78
2011;"08";9911;63,0007122389264;624400,059
2011;"09";14023;60,1431490408614;843387,379
2011;"10";1073;46,7928723205965;50208,752
2011;"11";114;52,4008859649123;5973,701
2011;"12";936;376,135254273504;352062,598
2011;"13";631;253,38312836767;159884,754
2011;"14";1043;138,653015340364;144615,095
2011;"15";837;259,997642771804;217618,027
2011;"16";904;134,296202433628;121403,767
2012;"01";1687;240,524213396562;405764,348
2012;"02";61;52,8166885245902;3221,818
2012;"03";3782;114,279678212586;432205,743
2012;"04";107;125,500607476636;13428,565
2012;"05";7384;44,0632344257855;325362,923
2012;"06";3110;115,228547266881;358360,782
2012;"07";2402;124,398584096586;298805,399
2012;"08";6700;51,020026119403;341834,175
2012;"09";8729;52,1935209073204;455597,244
2012;"10";675;52,7901896296296;35633,378
2012;"11";110;49,2769;5420,459
2012;"12";719;710,466244784423;510825,23
2012;"13";495;399,435842424242;197720,742
2012;"14";824;1021,30207160194;841552,907
2012;"15";756;497,058546296296;375776,261
2012;"16";662;245,373386706949;162437,182
2013;"01";953;266,349317943337;253830,9
2013;"02";76;103,459921052632;7862,954
2013;"03";2634;155,182399392559;408750,44
2013;"04";83;37,7420240963855;3132,588
2013;"05";5600;191,782564464286;1073982,361
2013;"06";2519;129,771871774514;326895,345
2013;"07";1722;231,920885598142;399367,765
2013;"08";4975;71,6964172864322;356689,676
2013;"09";5899;64,9146418036955;382931,472
2013;"10";447;102,003123042506;45595,396
2013;"11";84;63,4786904761905;5332,21
2013;"12";635;388,411217322835;246641,123
2013;"13";416;918,896795673077;382261,067
2013;"14";670;137,600459701493;92192,308
2013;"15";585;304,368276923077;178055,442
2013;"16";632;221,397259493671;139923,068
2014;"01";869;904,977421173763;786425,379
2014;"02";65;297,307430769231;19324,983
2014;"03";1862;212,876074113856;396375,25
2014;"04";70;196,850571428571;13779,54
2014;"05";3758;89,9206450239489;337921,784
2014;"06";1692;99,4285147754137;168233,047
2014;"07";1039;278,372043310876;289228,553
2014;"08";3466;88,2838770917484;305991,918
2014;"09";4224;111,58543655303;471336,884
2014;"10";254;158,300582677165;40208,348
2014;"11";106;41,9365094339623;4445,27
2014;"12";446;566,035215246637;252451,706
2014;"13";254;713,921799212598;181336,137
2014;"14";548;123,05846350365;67436,038
2014;"15";472;524,357997881356;247496,975
2014;"16";440;378,705702272727;166630,509
2014;NA;22;3780;83160
2015;"01";585;770,255899145299;450599,701
2015;"02";79;157,598987341772;12450,32
2015;"03";1331;182,637900075131;243091,045
2015;"04";50;178,4116;8920,58
2015;"05";2903;110,019058215639;319385,326
2015;"06";1192;110,514116610738;131732,827
2015;"07";822;139,050476885645;114299,492
2015;"08";2696;64,2576576409496;173238,645
2015;"09";3047;90,2077443386938;274862,997
2015;"10";164;95,2090487804878;15614,284
2015;"11";76;46,3018421052632;3518,94
2015;"12";299;529,351488294314;158276,095
2015;"13";166;604,744879518072;100387,65
2015;"14";459;132,843779956427;60975,295
2015;"15";312;438,645794871795;136857,488
2015;"16";324;214,468796296296;69487,89
2015;NA;349;3844,24068767908;1341640
2016;"01";609;640,951973727422;390339,752
2016;"02";86;136,781802325581;11763,235
2016;"03";1652;288,67033716707;476883,397
2016;"04";62;18,260064516129;1132,124
2016;"05";3285;117,706682800609;386666,453
2016;"06";1495;149,746282943144;223870,693
2016;"07";980;129,013366326531;126433,099
2016;"08";3554;98,7121406865504;350822,948
2016;"09";3857;93,9037350272232;362186,706
2016;"10";238;214,429361344538;51034,188
2016;"11";113;80,6834690265487;9117,232
2016;"12";514;675,941159533074;347433,756
2016;"13";206;758,87032038835;156327,286
2016;"14";491;134,537570264766;66057,947
2016;"15";366;329,810704918033;120710,718
2016;"16";351;337,185236467236;118352,018
2016;NA;103;5081,70873786408;523416
2017;"01";911;564,498770581778;514258,38
2017;"02";141;327,03365248227;46111,745
2017;"03";2713;334,982136748986;908806,537
2017;"04";53;75,1135849056604;3981,02
2017;"05";4958;170,911282977007;847378,141
2017;"06";2308;162,589518630849;375256,609
2017;"07";1529;116,574226945716;178241,993
2017;"08";5207;71,6170178605723;372909,812
2017;"09";6256;89,5968796355499;560518,079
2017;"10";273;321,221498168498;87693,469
2017;"11";233;52,0376180257511;12124,765
2017;"12";722;753,549656509695;544062,852
2017;"13";313;593,081054313099;185634,37
2017;"14";805;94,6384745341615;76183,972
2017;"15";562;411,587147686833;231311,977
2017;"16";545;255,952706422018;139494,225
2017;NA;68;5775;392700
2018;"01";1113;368,459870619946;410095,836
2018;"02";284;64,0462746478873;18189,142
2018;"03";3558;225,729184092187;803144,437
2018;"04";85;14,2786470588235;1213,685
2018;"05";6915;86,7781599421547;600070,976
2018;"06";2958;122,575932386748;362579,608
2018;"07";2228;104,719848294434;233315,822
2018;"08";7473;45,3126829921049;338621,68
2018;"09";9106;71,4184292773995;650336,217
2018;"10";323;131,809696594427;42574,532
2018;"11";245;39,2660204081633;9620,175
2018;"12";1233;362,504489862125;446968,036
2018;"13";493;439,677977687627;216761,243
2018;"14";1126;168,326236234458;189535,342
2018;"15";831;263,932981949459;219328,308
2018;"16";850;288,012198823529;244810,369
2018;NA;140;7048,57142857143;986800
2019;"01";2638;49,4156622441243;130358,517
2019;"02";375;27,50148;10313,055
2019;"03";10127;48,3207465192061;489344,2
2019;"04";148;139,155135135135;20594,96
2019;"05";19166;26,3573577689659;505165,119
2019;"06";6788;21,8098071596936;148044,971
2019;"07";6314;34,2983465315173;216559,76
2019;"08";21561;19,2550428551551;415157,979
2019;"09";26625;28,8017102723005;766845,536
2019;"10";854;20,1570327868852;17214,106
2019;"11";772;403,073187823834;311172,501
2019;"12";4324;79,1514623034228;342250,923
2019;"13";1508;156,638407161804;236210,718
2019;"14";3905;49,9834235595391;195185,269
2019;"15";2798;116,276368834882;325341,28
2019;"16";2102;81,167404376784;170613,884
2019;NA;151;6978,2119205298;1053710
