"start_year";"ags_county";"n";"mean";"sum"
2003;"08436";112;7,40580357142857;829,45
2003;"08437";36;75,4727777777778;2717,02
2003;"09161";13;3,96184615384615;51,504
2003;"09162";7;213,242857142857;1492,7
2003;"09163";4;1,7875;7,15
2003;"09171";31;23,311935483871;722,67
2003;"09172";5;3,24;16,2
2003;"09173";6;19,3166666666667;115,9
2003;"09174";7;4,50714285714286;31,55
2003;"09175";3;2,93333333333333;8,8
2003;"09176";13;4,74076923076923;61,63
2003;"09177";27;7,28518518518519;196,7
2003;"09178";13;390,623692307692;5078,108
2003;"09179";13;10,5053846153846;136,57
2003;"09180";10;83,88;838,8
2003;"09181";11;4,42909090909091;48,72
2003;"09182";15;4,36066666666667;65,41
2003;"09183";19;116,181;2207,439
2003;"09184";11;5,77454545454545;63,52
2003;"09185";25;5,8504;146,26
2003;"09186";15;4,34666666666667;65,2
2003;"09187";18;6,74527777777778;121,415
2003;"09188";4;6,225;24,9
2003;"09189";26;10,1580769230769;264,11
2003;"09190";27;11,6825925925926;315,43
2003;"09261";15;3,36533333333333;50,48
2003;"09262";2;7,475;14,95
2003;"09263";4;4,65;18,6
2003;"09271";31;6,78358064516129;210,291
2003;"09272";16;13,458875;215,342
2003;"09273";41;146,741951219512;6016,42
2003;"09274";28;7,37203571428571;206,417
2003;"09275";34;27,1167647058824;921,97
2003;"09276";6;4,31666666666667;25,9
2003;"09277";23;16,2608695652174;374
2003;"09278";26;10,1423076923077;263,7
2003;"09279";46;10,0358695652174;461,65
2003;"09361";5;10,6;53
2003;"09362";3;3,36666666666667;10,1
2003;"09363";5;5,28;26,4
2003;"09371";14;12,2071428571429;170,9
2003;"09372";23;7,94782608695652;182,8
2003;"09373";20;4,75575;95,115
2003;"09374";16;7,443875;119,102
2003;"09375";66;6,48575757575758;428,06
2003;"09376";10;3,855;38,55
2003;"09377";5;8,258;41,29
2003;"09461";6;4,95;29,7
2003;"09463";1;11,4;11,4
2003;"09471";9;7,19888888888889;64,79
2003;"09472";5;6,276;31,38
2003;"09473";9;8,54333333333333;76,89
2003;"09474";5;4,236;21,18
2003;"09475";5;4,649;23,245
2003;"09477";2;5,85;11,7
2003;"09478";6;8,45;50,7
2003;"09479";4;13,255;53,02
2003;"09562";7;4,5;31,5
2003;"09563";13;6,13923076923077;79,81
2003;"09564";2;851;1702
2003;"09571";27;6,99555555555556;188,88
2003;"09572";6;24,635;147,81
2003;"09573";15;31,632;474,48
2003;"09574";8;189,91875;1519,35
2003;"09575";27;8,44518518518518;228,02
2003;"09576";9;4,85888888888889;43,73
2003;"09577";13;14,8873076923077;193,535
2003;"09662";2;4,59;9,18
2003;"09663";3;4,56666666666667;13,7
2003;"09671";9;3,74444444444444;33,7
2003;"09672";8;4,8975;39,18
2003;"09673";4;6,95;27,8
2003;"09674";3;4,56666666666667;13,7
2003;"09675";11;5,09090909090909;56
2003;"09676";3;11,5166666666667;34,55
2003;"09677";11;5,12727272727273;56,4
2003;"09678";9;6,32222222222222;56,9
2003;"09679";40;8,8938;355,752
2003;"09761";4;2,4525;9,81
2003;"09762";16;7,458125;119,33
2003;"09763";16;10,099875;161,598
2003;"09764";2;6,05;12,1
2003;"09771";11;8,95527272727273;98,508
2003;"09772";5;6,096;30,48
2003;"09773";27;7,54037037037037;203,59
2003;"09774";6;5,81666666666667;34,9
2003;"09775";29;135,311379310345;3924,03
2003;"09776";17;7,32764705882353;124,57
2003;"09777";40;9,73;389,2
2003;"09778";18;8,09;145,62
2003;"09779";27;15,7274074074074;424,64
2003;"09780";83;8,52373493975904;707,47
2003;"10041";7;1626,71428571429;11387
2003;"10042";1;4;4
2003;"10043";2;2,45;4,9
2003;"10044";5;7,42;37,1
2003;"10045";3;4,495;13,485
2003;"10046";3;401,153333333333;1203,46
2003;"11000";7;234,794285714286;1643,56
2003;"12051";1;0,85;0,85
2003;"12054";1;5,5;5,5
2003;"12060";6;1251,09333333333;7506,56
2003;"12061";15;1867,19266666667;28007,89
2003;"12062";3;336,166666666667;1008,5
2003;"12064";9;931,577777777778;8384,2
2003;"12065";4;2000;8000
2003;"12066";6;1001,69;6010,14
2003;"12067";22;1581,81818181818;34800
2003;"12068";5;780;3900
2003;"12069";1;1,5;1,5
2003;"12070";1;1500;1500
2003;"12071";2;6,15;12,3
2003;"12072";13;1692,30769230769;22000
2003;"12073";12;1358,525;16302,3
2003;"13003";1;1,5;1,5
2003;"13071";20;1875,25;37505
2003;"13072";3;1667,63333333333;5002,9
2003;"13073";4;380,52;1522,08
2003;"13074";10;171,2116;1712,116
2003;"13075";2;331,5;663
2003;"13076";3;3,86666666666667;11,6
2003;"14511";1;2,5;2,5
2003;"14521";6;7,86666666666667;47,2
2003;"14522";9;866;7794
2003;"14523";2;134,5;269
2003;"14524";5;4,09;20,45
2003;"14612";6;1451,45;8708,7
2003;"14625";4;138,7275;554,91
2003;"14626";5;1160,64;5803,2
2003;"14627";1;2,1;2,1
2003;"14628";7;260,927142857143;1826,49
2003;"14713";1;4,2;4,2
2003;"14729";5;420,3;2101,5
2003;"14730";10;719,7575;7197,575
2003;"15001";2;13,25;26,5
2003;"15082";11;1109,09090909091;12200
2003;"15083";6;1917,58333333333;11505,5
2003;"15084";4;602;2408
2003;"15086";3;285,766666666667;857,3
2003;"15087";5;905,3;4526,5
2003;"15088";18;1415,38888888889;25477
2003;"15089";24;1563,235;37517,64
2003;"15090";1;5,5;5,5
2003;"15091";4;1000,76625;4003,065
2003;"16051";3;9,70533333333333;29,116
2003;"16052";2;2,25;4,5
2003;"16053";2;8,27;16,54
2003;"16054";2;3,75;7,5
2003;"16055";2;13,1;26,2
2003;"16056";1;170;170
2003;"16061";13;1388,97692307692;18056,7
2003;"16062";2;435,6;871,2
2003;"16063";1;118,75;118,75
2003;"16064";5;721,89;3609,45
2003;"16065";2;24;48
2003;"16066";3;2,76666666666667;8,3
2003;"16067";3;154,166666666667;462,5
2003;"16070";3;5,16666666666667;15,5
2003;"16071";1;3,8;3,8
2003;"16073";2;6,8215;13,643
2003;"16074";2;762;1524
2003;"16075";3;167,333333333333;502
2003;"16076";2;801,5;1603
2003;"16077";5;1464;7320
2004;"01001";3;35,8333333333333;107,5
2004;"01002";2;5,78;11,56
2004;"01003";1;5;5
2004;"01004";1;6;6
2004;"01051";49;154,768367346939;7583,65
2004;"01053";8;10,1925;81,54
2004;"01054";72;134,622013888889;9692,785
2004;"01055";9;12,9388888888889;116,45
2004;"01056";12;5,3975;64,77
2004;"01057";11;35,302;388,322
2004;"01058";17;11,7423529411765;199,62
2004;"01059";41;102,655365853659;4208,87
2004;"01060";5;603,62;3018,1
2004;"01061";12;9,06833333333333;108,82
2004;"01062";5;2,2;11
2004;"02000";8;150,355;1202,84
2004;"03101";1;4,2;4,2
2004;"03102";2;23,018;46,036
2004;"03103";6;40,7693333333333;244,616
2004;"03151";18;7,14444444444444;128,6
2004;"03153";13;13,5869230769231;176,63
2004;"03154";8;752,835;6022,68
2004;"03155";25;7,16308;179,077
2004;"03157";9;12,5744444444444;113,17
2004;"03158";21;10,677619047619;224,23
2004;"03159";62;6,05259677419355;375,261
2004;"03241";29;53,8351724137931;1561,22
2004;"03251";76;721,036105263158;54798,744
2004;"03252";6;553,47;3320,82
2004;"03254";10;7,058;70,58
2004;"03255";10;1680,6125;16806,125
2004;"03256";17;365,340588235294;6210,79
2004;"03257";7;551,464285714286;3860,25
2004;"03351";18;440,066666666667;7921,2
2004;"03352";19;5,12894736842105;97,45
2004;"03353";20;85,71085;1714,217
2004;"03354";9;52,2122222222222;469,91
2004;"03355";8;6,765;54,12
2004;"03356";7;7,65857142857143;53,61
2004;"03357";58;549,842327586207;31890,855
2004;"03358";32;401,51453125;12848,465
2004;"03359";27;7,0662962962963;190,79
2004;"03360";14;321,593571428571;4502,31
2004;"03361";16;210,71125;3371,38
2004;"03401";5;13,32;66,6
2004;"03402";5;6,4;32
2004;"03403";6;2,16666666666667;13
2004;"03404";11;3,78181818181818;41,6
2004;"03451";13;6,67769230769231;86,81
2004;"03452";33;276,352121212121;9119,62
2004;"03453";38;119,764263157895;4551,042
2004;"03454";52;146,219211538462;7603,399
2004;"03455";13;26,902;349,726
2004;"03456";11;9,21190909090909;101,331
2004;"03457";9;3,68777777777778;33,19
2004;"03458";30;79,7066666666667;2391,2
2004;"03459";40;8,346325;333,853
2004;"03460";9;74,6544444444445;671,89
2004;"03461";7;293,025714285714;2051,18
2004;"03462";13;11,1553846153846;145,02
2004;"04011";12;57,575;690,9
2004;"04012";7;750,033142857143;5250,232
2004;"05111";4;3,325;13,3
2004;"05112";3;50142,5;150427,5
2004;"05113";10;3,847;38,47
2004;"05114";5;802,216;4011,08
2004;"05117";5;2,8958;14,479
2004;"05119";9;3,26111111111111;29,35
2004;"05120";3;3,25666666666667;9,77
2004;"05122";4;4,225;16,9
2004;"05124";5;3,2578;16,289
2004;"05154";103;43,0154563106796;4430,592
2004;"05158";18;465,649333333333;8381,688
2004;"05162";15;52,0255333333333;780,383
2004;"05166";14;13,8247142857143;193,546
2004;"05170";53;120,481188679245;6385,503
2004;"05314";9;3,19333333333333;28,74
2004;"05315";7;222,151428571429;1555,06
2004;"05316";1;4;4
2004;"05334";25;39,85232;996,308
2004;"05358";31;10,5077419354839;325,74
2004;"05362";18;15,0805555555556;271,45
2004;"05366";16;11,27075;180,332
2004;"05370";17;654,085294117647;11119,45
2004;"05374";13;17,3592307692308;225,67
2004;"05378";13;13,6892307692308;177,96
2004;"05382";55;14,2191636363636;782,054
2004;"05512";4;12,225;48,9
2004;"05513";1;7,5;7,5
2004;"05515";41;9,77073170731707;400,6
2004;"05554";159;152,492452830189;24246,3
2004;"05558";90;65,8165333333333;5923,488
2004;"05562";49;553,405163265306;27116,853
2004;"05566";103;98,3100582524272;10125,936
2004;"05570";84;35,1964642857143;2956,503
2004;"05711";12;4,3975;52,77
2004;"05754";136;12,7975588235294;1740,468
2004;"05758";16;13,643125;218,29
2004;"05762";59;250,781525423729;14796,11
2004;"05766";34;11,2033529411765;380,914
2004;"05770";51;7,95323529411765;405,615
2004;"05774";87;74,6084482758621;6490,935
2004;"05911";4;190,7375;762,95
2004;"05913";33;3,63393939393939;119,92
2004;"05914";5;3651,304;18256,52
2004;"05915";14;48,0746428571429;673,045
2004;"05916";2;3,201;6,402
2004;"05954";14;146,870714285714;2056,19
2004;"05958";39;10,6501794871795;415,357
2004;"05962";26;144,34;3752,84
2004;"05966";15;405,681333333333;6085,22
2004;"05970";18;5,57172222222222;100,291
2004;"05974";44;13,3879090909091;589,068
2004;"05978";20;10,68405;213,681
2004;"06411";2;17,55;35,1
2004;"06412";5;13,172;65,86
2004;"06413";1;5;5
2004;"06414";5;7,1;35,5
2004;"06431";17;15,7311764705882;267,43
2004;"06432";10;71,148;711,48
2004;"06433";13;51,3946153846154;668,13
2004;"06434";3;3,8;11,4
2004;"06435";77;129,714285714286;9988
2004;"06436";9;13,1911111111111;118,72
2004;"06437";5;11,66;58,3
2004;"06438";30;3,95233333333333;118,57
2004;"06439";9;10,5133333333333;94,62
2004;"06440";40;27,288925;1091,557
2004;"06531";50;14,94712;747,356
2004;"06532";25;8,4854;212,135
2004;"06533";10;22,792;227,92
2004;"06534";22;30,8363181818182;678,399
2004;"06535";35;9,31342857142857;325,97
2004;"06611";9;8,00311111111111;72,028
2004;"06631";103;70,050359223301;7215,187
2004;"06632";41;26,015;1066,615
2004;"06633";46;42,0592826086957;1934,727
2004;"06634";57;350,374596491228;19971,352
2004;"06635";45;7,80222222222222;351,1
2004;"06636";20;8,998;179,96
2004;"07111";2;1,545;3,09
2004;"07131";3;23,0666666666667;69,2
2004;"07132";18;18,0294444444444;324,53
2004;"07133";13;10,2821538461538;133,668
2004;"07134";5;1600,442;8002,21
2004;"07135";4;7,021;28,084
2004;"07137";15;11,1016666666667;166,525
2004;"07138";14;10,7057142857143;149,88
2004;"07140";9;4,55955555555556;41,036
2004;"07141";6;12,1516666666667;72,91
2004;"07143";9;230,066666666667;2070,6
2004;"07211";3;10,97;32,91
2004;"07231";18;8,42666666666667;151,68
2004;"07232";38;369,771947368421;14051,334
2004;"07233";8;18,440375;147,523
2004;"07235";14;203,381785714286;2847,345
2004;"07312";2;30,5;61
2004;"07313";4;327,48;1309,92
2004;"07314";1;30;30
2004;"07315";5;19,187;95,935
2004;"07316";4;5,7725;23,09
2004;"07317";1;8,68;8,68
2004;"07318";37;14,9359459459459;552,63
2004;"07319";2;6;12
2004;"07320";1;6,5;6,5
2004;"07331";18;8,77;157,86
2004;"07332";19;296,021052631579;5624,4
2004;"07333";10;22,048;220,48
2004;"07334";14;1907,44857142857;26704,28
2004;"07335";9;4,783;43,047
2004;"07336";3;4,00666666666667;12,02
2004;"07337";44;6,37670454545455;280,575
2004;"07338";16;8,09875;129,58
2004;"07339";33;9,05575757575758;298,84
2004;"07340";7;7,08857142857143;49,62
2004;"08111";18;11,55;207,9
2004;"08115";42;30,1223333333333;1265,138
2004;"08116";57;24,7785964912281;1412,38
2004;"08117";66;10,5899545454545;698,937
2004;"08118";46;8,93695652173913;411,1
2004;"08119";60;14,5772;874,632
2004;"08121";19;4,40415789473684;83,679
2004;"08125";84;56,4366666666667;4740,68
2004;"08126";52;21,214;1103,128
2004;"08127";173;27,5859421965318;4772,368
2004;"08128";169;14,8935266272189;2517,006
2004;"08135";69;418,413405797101;28870,525
2004;"08136";226;28,7315;6493,319
2004;"08211";5;4,16;20,8
2004;"08212";4;3,95;15,8
2004;"08215";47;5,7888085106383;272,074
2004;"08216";28;5,31028571428571;148,688
2004;"08222";8;6,793125;54,345
2004;"08225";67;76,1306119402985;5100,751
2004;"08226";37;7,45621621621622;275,88
2004;"08231";33;379,699696969697;12530,09
2004;"08235";24;7,79791666666667;187,15
2004;"08236";71;5,42732394366197;385,34
2004;"08237";50;13,4656;673,28
2004;"08311";10;295,678;2956,78
2004;"08315";53;208,016226415094;11024,86
2004;"08316";82;62,5953414634146;5132,818
2004;"08317";105;7,8312;822,276
2004;"08325";86;57,8131627906977;4971,932
2004;"08326";44;36,1870454545455;1592,23
2004;"08327";52;12,9653846153846;674,2
2004;"08335";135;15,0077407407407;2026,045
2004;"08336";19;12,6555263157895;240,455
2004;"08337";44;17,4941590909091;769,743
2004;"08415";66;9,39174242424243;619,855
2004;"08416";53;19,7458679245283;1046,531
2004;"08417";40;6,379;255,16
2004;"08421";26;10,5480769230769;274,25
2004;"08425";136;11,059375;1504,075
2004;"08426";136;78,2253676470588;10638,65
2004;"08435";66;9,52;628,32
2004;"08436";162;13,386;2168,532
2004;"08437";97;125,332762886598;12157,278
2004;"09161";25;7,5018;187,545
2004;"09162";25;15348,47072;383711,768
2004;"09163";4;2,9025;11,61
2004;"09171";68;22,6943382352941;1543,215
2004;"09172";13;396,985384615385;5160,81
2004;"09173";13;14,5242307692308;188,815
2004;"09174";38;17,7208421052632;673,392
2004;"09175";14;7,99571428571429;111,94
2004;"09176";31;59,1296774193548;1833,02
2004;"09177";69;46,9647101449275;3240,565
2004;"09178";55;39,668;2181,74
2004;"09179";29;33,4083448275862;968,842
2004;"09180";26;12,1126923076923;314,93
2004;"09181";19;16,8821052631579;320,76
2004;"09182";12;9,85;118,2
2004;"09183";43;28,1080697674419;1208,647
2004;"09184";29;27,4091379310345;794,865
2004;"09185";23;8,53873913043478;196,391
2004;"09186";32;8,86671875;283,735
2004;"09187";47;11,8172340425532;555,41
2004;"09188";12;8,08916666666667;97,07
2004;"09189";105;85,3529523809524;8962,06
2004;"09190";29;13,6337931034483;395,38
2004;"09261";5;6,975;34,875
2004;"09262";9;11,4733333333333;103,26
2004;"09263";12;11,5766666666667;138,92
2004;"09271";77;12,4058311688312;955,249
2004;"09272";47;11,6840425531915;549,15
2004;"09273";79;28,4437974683544;2247,06
2004;"09274";94;15,1631808510638;1425,339
2004;"09275";106;18,903141509434;2003,733
2004;"09276";29;14,6895862068966;425,998
2004;"09277";101;34,9172277227723;3526,64
2004;"09278";125;20,12492;2515,615
2004;"09279";108;22,2751851851852;2405,72
2004;"09361";11;6,78909090909091;74,68
2004;"09362";15;40,06;600,9
2004;"09363";10;18,5755;185,755
2004;"09371";38;10,9536842105263;416,24
2004;"09372";88;12,0825;1063,26
2004;"09373";43;9,90023255813954;425,71
2004;"09374";62;23,0546774193548;1429,39
2004;"09375";107;11,0434579439252;1181,65
2004;"09376";51;12,6774509803922;646,55
2004;"09377";50;62,0511;3102,555
2004;"09461";8;7,9425;63,54
2004;"09462";5;104,882;524,41
2004;"09463";8;4,28875;34,31
2004;"09464";3;116,866666666667;350,6
2004;"09471";16;12,0078125;192,125
2004;"09472";20;25,7455;514,91
2004;"09473";36;14,0322222222222;505,16
2004;"09474";15;39,6933333333333;595,4
2004;"09475";27;214,219814814815;5783,935
2004;"09476";5;8,4508;42,254
2004;"09477";18;12,9288888888889;232,72
2004;"09478";6;23,8008333333333;142,805
2004;"09479";25;14,2252;355,63
2004;"09561";11;12,8081818181818;140,89
2004;"09562";26;5,98096153846154;155,505
2004;"09563";19;8,3878947368421;159,37
2004;"09565";2;14;28
2004;"09571";81;110,934901234568;8985,727
2004;"09572";21;10,4014285714286;218,43
2004;"09573";19;22,1394736842105;420,65
2004;"09574";12;363,3675;4360,41
2004;"09575";62;22,3320967741935;1384,59
2004;"09576";17;4,93858823529412;83,956
2004;"09577";37;19,2213243243243;711,189
2004;"09661";1;3,8;3,8
2004;"09662";1;0,4;0,4
2004;"09663";20;170,49;3409,8
2004;"09671";32;18,95859375;606,675
2004;"09672";19;8,03342105263158;152,635
2004;"09673";50;9,5722;478,61
2004;"09674";15;7,47333333333333;112,1
2004;"09675";49;33,4828571428571;1640,66
2004;"09676";18;6,20722222222222;111,73
2004;"09677";18;8,61983333333333;155,157
2004;"09678";43;9,40476744186046;404,405
2004;"09679";82;16,8019634146341;1377,761
2004;"09761";7;4393,58428571429;30755,09
2004;"09762";15;13,6133333333333;204,2
2004;"09763";21;214,36619047619;4501,69
2004;"09764";1;18;18
2004;"09771";27;42,2551851851852;1140,89
2004;"09772";19;9,52131578947368;180,905
2004;"09773";68;12,8120588235294;871,22
2004;"09774";17;18,9511764705882;322,17
2004;"09775";41;108,982682926829;4468,29
2004;"09776";21;15,4833333333333;325,15
2004;"09777";87;19,9044252873563;1731,685
2004;"09778";32;37,5346875;1201,11
2004;"09779";50;73,9488;3697,44
2004;"09780";134;13,3585597014925;1790,047
2004;"10041";10;2518,41;25184,1
2004;"10042";13;4,13615384615385;53,77
2004;"10043";5;2,82;14,1
2004;"10044";23;15,4882608695652;356,23
2004;"10045";19;123,862631578947;2353,39
2004;"10046";10;4,59;45,9
2004;"11000";17;13,5794117647059;230,85
2004;"12051";2;2,85;5,7
2004;"12052";6;337,348333333333;2024,09
2004;"12053";1;5,5;5,5
2004;"12054";1;5,38;5,38
2004;"12060";3;685,666666666667;2057
2004;"12061";5;48,0976;240,488
2004;"12062";17;887,597058823529;15089,15
2004;"12063";1;61,29;61,29
2004;"12064";14;1489,89357142857;20858,51
2004;"12065";3;1334,13333333333;4002,4
2004;"12066";4;32,9;131,6
2004;"12067";4;1001,225;4004,9
2004;"12068";2;850;1700
2004;"12069";13;1846,30153846154;24001,92
2004;"12070";8;224,73875;1797,91
2004;"12071";2;20,25;40,5
2004;"12072";2;4,725;9,45
2004;"12073";7;985,292857142857;6897,05
2004;"13003";7;2,66;18,62
2004;"13004";1;3;3
2004;"13071";5;1170,5;5852,5
2004;"13072";10;705,0205;7050,205
2004;"13073";4;10,425;41,7
2004;"13074";11;27,7418181818182;305,16
2004;"13075";8;56,8875;455,1
2004;"13076";9;26,85;241,65
2004;"14511";3;3,2;9,6
2004;"14521";13;34,3269230769231;446,25
2004;"14522";18;86,5833333333333;1558,5
2004;"14523";11;209,356363636364;2302,92
2004;"14524";11;10,0841818181818;110,926
2004;"14612";1;3,6;3,6
2004;"14625";12;874,658333333333;10495,9
2004;"14626";6;28,7683333333333;172,61
2004;"14627";8;47,8675;382,94
2004;"14628";8;7,7575;62,06
2004;"14713";6;2,76366666666667;16,582
2004;"14729";11;369,527272727273;4064,8
2004;"14730";13;826,136923076923;10739,78
2004;"15001";4;453,775;1815,1
2004;"15002";1;3,2;3,2
2004;"15003";5;7,296;36,48
2004;"15081";2;15,95;31,9
2004;"15082";3;82,94;248,82
2004;"15083";20;1326,39;26527,8
2004;"15084";10;322,33;3223,3
2004;"15085";10;1425,96;14259,6
2004;"15086";2;3,175;6,35
2004;"15087";4;4,45;17,8
2004;"15088";9;221,9;1997,1
2004;"15089";8;504,2875;4034,3
2004;"15090";9;24,1833333333333;217,65
2004;"15091";6;33,061;198,366
2004;"16051";4;11,8875;47,55
2004;"16052";3;6,13333333333333;18,4
2004;"16053";1;2,5;2,5
2004;"16054";2;3,9;7,8
2004;"16056";2;7;14
2004;"16061";8;17,82625;142,61
2004;"16063";5;2,8;14
2004;"16064";5;363,768;1818,84
2004;"16065";6;3,625;21,75
2004;"16066";7;3,42285714285714;23,96
2004;"16067";4;9,5;38
2004;"16068";2;11,6;23,2
2004;"16069";1;120;120
2004;"16070";6;3,81666666666667;22,9
2004;"16071";2;1,25;2,5
2004;"16072";2;3,385;6,77
2004;"16073";3;3,9;11,7
2004;"16074";3;17,5333333333333;52,6
2004;"16075";2;902,5;1805
2004;"16076";2;4,85;9,7
2004;"16077";7;691,2;4838,4
2005;"01001";2;10,5;21
2005;"01002";8;1363,34375;10906,75
2005;"01003";2;4,4;8,8
2005;"01004";1;13,8;13,8
2005;"01051";97;177,147288659794;17183,287
2005;"01053";8;8,825;70,6
2005;"01054";116;35,8707327586207;4161,005
2005;"01055";11;19,6990909090909;216,69
2005;"01056";9;10,0922222222222;90,83
2005;"01057";7;3,82428571428571;26,77
2005;"01058";49;24,9441836734694;1222,265
2005;"01059";62;28,7338709677419;1781,5
2005;"01060";10;40,381;403,81
2005;"01061";12;340,638333333333;4087,66
2005;"01062";12;5,56483333333333;66,778
2005;"02000";9;6,23111111111111;56,08
2005;"03101";4;4,35;17,4
2005;"03102";5;9,105;45,525
2005;"03103";8;3,8075;30,46
2005;"03151";31;94,8568709677419;2940,563
2005;"03153";10;41,51;415,1
2005;"03154";22;474,811363636364;10445,85
2005;"03155";24;8,348125;200,355
2005;"03157";28;247,294785714286;6924,254
2005;"03158";10;63,524;635,24
2005;"03159";86;14,8302209302326;1275,399
2005;"03241";48;244,480208333333;11735,05
2005;"03251";84;565,482511904762;47500,531
2005;"03252";17;6,06911764705882;103,175
2005;"03254";35;6,83457142857143;239,21
2005;"03255";4;454,75;1819
2005;"03256";17;282,148823529412;4796,53
2005;"03257";8;8,894375;71,155
2005;"03351";26;163,874615384615;4260,74
2005;"03352";28;7,40375;207,305
2005;"03353";17;22,3623529411765;380,16
2005;"03354";18;52,1805555555556;939,25
2005;"03355";16;7,129375;114,07
2005;"03356";8;14,58125;116,65
2005;"03357";60;139,3946;8363,676
2005;"03358";20;216,7135;4334,27
2005;"03359";35;10,0056285714286;350,197
2005;"03360";24;55,69375;1336,65
2005;"03361";17;663,791176470588;11284,45
2005;"03401";4;12,25425;49,017
2005;"03402";15;9,21;138,15
2005;"03403";10;4,3768;43,768
2005;"03404";10;3,97;39,7
2005;"03405";4;1252,15;5008,6
2005;"03451";20;8,88935;177,787
2005;"03452";57;12,0902631578947;689,145
2005;"03453";46;266,889673913043;12276,925
2005;"03454";90;178,655955555556;16079,036
2005;"03455";24;681,509166666667;16356,22
2005;"03456";37;20,2798648648649;750,355
2005;"03457";24;7,19166666666667;172,6
2005;"03458";43;22,3732558139535;962,05
2005;"03459";53;136,069603773585;7211,689
2005;"03460";12;54,0383333333333;648,46
2005;"03461";12;307,3825;3688,59
2005;"03462";22;233,315727272727;5132,946
2005;"04011";20;34,13725;682,745
2005;"04012";3;386,9;1160,7
2005;"05111";4;2440,025;9760,1
2005;"05112";1;84000;84000
2005;"05113";19;37,2325789473684;707,419
2005;"05114";3;2,77666666666667;8,33
2005;"05116";1;22,99;22,99
2005;"05117";7;5,23914285714286;36,674
2005;"05119";3;218,6;655,8
2005;"05120";6;574,366666666667;3446,2
2005;"05122";6;3,12333333333333;18,74
2005;"05124";12;7118,425;85421,1
2005;"05154";126;56,5843174603175;7129,624
2005;"05158";13;5,16684615384615;67,169
2005;"05162";20;17,6289;352,578
2005;"05166";25;13,50824;337,706
2005;"05170";62;130,199306451613;8072,357
2005;"05314";9;6,08933333333333;54,804
2005;"05315";7;11,6585714285714;81,61
2005;"05316";1;1;1
2005;"05334";22;22,5739545454545;496,627
2005;"05358";49;234,683959183673;11499,514
2005;"05362";23;63,1018695652174;1451,343
2005;"05366";43;158,491976744186;6815,155
2005;"05370";21;38,68;812,28
2005;"05374";13;15,3826923076923;199,975
2005;"05378";14;11,4464285714286;160,25
2005;"05382";39;6,78184615384615;264,492
2005;"05512";6;154,716666666667;928,3
2005;"05513";3;5,9;17,7
2005;"05515";58;1823,84018965517;105782,731
2005;"05554";206;86,2084708737864;17758,945
2005;"05558";102;11,1854215686275;1140,913
2005;"05562";66;43,1300151515152;2846,581
2005;"05566";134;87,6562313432836;11745,935
2005;"05570";92;21,6521086956522;1991,994
2005;"05711";18;7,76722222222222;139,81
2005;"05754";185;54,0028648648649;9990,53
2005;"05758";22;5,21027272727273;114,626
2005;"05762";74;79,5939864864865;5889,955
2005;"05766";42;56,0084523809524;2352,355
2005;"05770";80;13,5510625;1084,085
2005;"05774";121;90,2030495867769;10914,569
2005;"05911";8;3,11375;24,91
2005;"05913";25;133,57252;3339,313
2005;"05914";8;230,2125;1841,7
2005;"05915";22;7,79954545454545;171,59
2005;"05916";1;5;5
2005;"05954";21;101,8;2137,8
2005;"05958";43;24,9672093023256;1073,59
2005;"05962";42;14,6144523809524;613,807
2005;"05966";15;8,10333333333333;121,55
2005;"05970";40;12,257075;490,283
2005;"05974";60;70,8660833333333;4251,965
2005;"05978";42;201,657095238095;8469,598
2005;"06411";4;10,6;42,4
2005;"06412";14;6291,00357142857;88074,05
2005;"06413";4;3,85;15,4
2005;"06414";8;17,15875;137,27
2005;"06431";40;158,031675;6321,267
2005;"06432";28;264,776071428571;7413,73
2005;"06433";19;66,0908947368421;1255,727
2005;"06434";4;6,0995;24,398
2005;"06435";120;6,427075;771,249
2005;"06436";4;8,825;35,3
2005;"06437";20;242,297;4845,94
2005;"06438";35;6,20871428571429;217,305
2005;"06439";15;10,398;155,97
2005;"06440";61;13,0723442622951;797,413
2005;"06531";128;9,056015625;1159,17
2005;"06532";61;10,7231967213115;654,115
2005;"06533";27;10,0959259259259;272,59
2005;"06534";75;35,1500666666667;2636,255
2005;"06535";69;8,65471014492754;597,175
2005;"06611";26;76,3383846153846;1984,798
2005;"06631";176;16,8081306818182;2958,231
2005;"06632";47;146,987553191489;6908,415
2005;"06633";76;12,9962105263158;987,712
2005;"06634";81;12,4511728395062;1008,545
2005;"06635";72;10,2899305555556;740,875
2005;"06636";45;9,20777777777778;414,35
2005;"07111";9;3,62333333333333;32,61
2005;"07131";22;28,8985454545455;635,768
2005;"07132";24;21,91125;525,87
2005;"07133";19;229,28;4356,32
2005;"07134";5;5,188;25,94
2005;"07135";16;182,974375;2927,59
2005;"07137";29;12,9986551724138;376,961
2005;"07138";19;17,86;339,34
2005;"07140";35;8,318;291,13
2005;"07141";8;7,86575;62,926
2005;"07143";52;6,76134615384615;351,59
2005;"07211";2;2,765;5,53
2005;"07231";25;8,9026;222,565
2005;"07232";28;366,702857142857;10267,68
2005;"07233";28;17,3269642857143;485,155
2005;"07235";13;6,73076923076923;87,5
2005;"07311";2;13,59;27,18
2005;"07312";5;49,952;249,76
2005;"07313";11;10,37;114,07
2005;"07314";9;1024,20111111111;9217,81
2005;"07315";5;2,396;11,98
