"start_year";"ags_county";"n";"mean";"sum"
1997;"02000";21;49,4085714285714;1037,58
1997;"03101";1;144;144
1997;"03103";1;4,6;4,6
1997;"03151";3;4,46666666666667;13,4
1997;"03153";2;215;430
1997;"03154";1;500;500
1997;"03155";1;14;14
1997;"03158";2;1500;3000
1997;"03241";1;14;14
1997;"03252";1;500;500
1997;"03256";2;500;1000
1997;"03352";1;518;518
1997;"03353";1;600;600
1997;"03354";1;500;500
1997;"03355";1;2,5;2,5
1997;"03402";1;2,2;2,2
1997;"03404";5;2,97;14,85
1997;"03452";1;300;300
1997;"03457";1;0,7;0,7
1997;"03459";2;1751,55;3503,1
1997;"03461";6;600;3600
1997;"03462";1;1500;1500
1997;"05112";1;320;320
1997;"05114";1;1,7;1,7
1997;"05116";1;144;144
1997;"05119";1;2;2
1997;"05120";3;16,8666666666667;50,6
1997;"05124";9;2,48466666666667;22,362
1997;"05158";2;162,85;325,7
1997;"05166";2;2,475;4,95
1997;"05170";5;977,512;4887,56
1997;"05314";1;2,8;2,8
1997;"05334";13;48,7153846153846;633,3
1997;"05370";1;2,75;2,75
1997;"05374";3;2,32666666666667;6,98
1997;"05382";1;1,7;1,7
1997;"05515";16;4,40875;70,54
1997;"05554";7;30,8931428571429;216,252
1997;"05558";1;6;6
1997;"05562";3;3,22133333333333;9,664
1997;"05566";4;9,2;36,8
1997;"05570";1;1,8;1,8
1997;"05711";7;3,74285714285714;26,2
1997;"05754";15;9,165;137,475
1997;"05766";4;3,075;12,3
1997;"05770";1;500;500
1997;"05774";1;1500;1500
1997;"05913";4;126,82;507,28
1997;"05914";1;1,1;1,1
1997;"05915";4;1,55;6,2
1997;"05954";2;290;580
1997;"05962";10;1,331;13,31
1997;"05974";9;113,834444444444;1024,51
1997;"05978";3;205,603333333333;616,81
1997;"06411";2;450,9;901,8
1997;"06412";1;4;4
1997;"06431";1;4,5;4,5
1997;"06432";1;2,16;2,16
1997;"06434";1;1,98;1,98
1997;"06435";1;2;2
1997;"06437";1;1,5;1,5
1997;"06532";3;388,333333333333;1165
1997;"06533";1;2;2
1997;"06535";8;600;4800
1997;"06631";1;2,1;2,1
1997;"06632";1;1,4;1,4
1997;"06633";8;512,7375;4101,9
1997;"06634";3;160,146666666667;480,44
1997;"06635";2;600;1200
1997;"06636";2;12;24
1997;"07131";2;4,454;8,908
1997;"07133";1;120;120
1997;"07137";3;3,32466666666667;9,974
1997;"07140";1;100;100
1997;"07141";1;1,84;1,84
1997;"07143";6;334,258333333333;2005,55
1997;"07316";1;1544;1544
1997;"07331";4;375,4875;1501,95
1997;"07332";1;11;11
1997;"08115";1;304;304
