"start_year";"EinheitenTyp";"ags_federal_state";"n";"mean";"sum"
2002;"Biomasse";"07";4;330;1320
2002;"Biomasse";"08";13;996,515384615385;12954,7
2002;"Biomasse";"09";28;336,892857142857;9433
2002;"Biomasse";"12";3;6833;20499
2002;"Biomasse";"13";3;318,333333333333;955
2002;"Biomasse";"14";5;194;970
2002;"Biomasse";"15";1;254;254
2002;"Biomasse";"16";3;294;882
2002;"Gaserzeugungseinheit";"13";1;NA;NA
2002;"Gasverbrauchseinheit";"03";1;NA;NA
2002;"Geothermie";"05";8;2868;22944
2002;"Geothermie";"08";1;44;44
2002;"Geothermie";"09";1;30;30
2002;"Geothermie";"10";7;3251,71428571429;22762
2002;"Solareinheit";"01";39;4,52948717948718;176,65
2002;"Solareinheit";"02";2;2,035;4,07
2002;"Solareinheit";"03";193;3,93642487046632;759,73
2002;"Solareinheit";"04";11;2,90472727272727;31,952
2002;"Solareinheit";"05";408;13,3553774509804;5448,994
2002;"Solareinheit";"06";214;26,5943177570093;5691,184
2002;"Solareinheit";"07";85;4,26711764705882;362,705
2002;"Solareinheit";"08";1168;17,3829255136986;20303,257
2002;"Solareinheit";"09";1095;18,8414255707763;20631,361
2002;"Solareinheit";"10";18;3,365;60,57
2002;"Solareinheit";"11";9;6,75;60,75
2002;"Solareinheit";"12";14;9,48264285714286;132,757
2002;"Solareinheit";"13";9;13,8111111111111;124,3
2002;"Solareinheit";"14";21;3,61047619047619;75,82
2002;"Solareinheit";"15";9;279,593333333333;2516,34
2002;"Solareinheit";"16";33;3,95545454545455;130,53
2002;"Stromspeichereinheit";"09";1;4,352;4,352
2002;"Verbrennung";"01";3;5,2;15,6
2002;"Verbrennung";"02";1;324;324
2002;"Verbrennung";"03";21;29,2666666666667;614,6
2002;"Verbrennung";"04";2;332,5;665
2002;"Verbrennung";"05";22;182,772727272727;4021
2002;"Verbrennung";"06";7;143,714285714286;1006
2002;"Verbrennung";"07";6;116;696
2002;"Verbrennung";"08";25;123,1728;3079,32
2002;"Verbrennung";"09";29;107,180689655172;3108,24
2002;"Verbrennung";"10";2;5,5;11
2002;"Verbrennung";"11";2;3115;6230
2002;"Verbrennung";"12";2;212,75;425,5
2002;"Verbrennung";"14";6;56,9166666666667;341,5
2002;"Verbrennung";"15";4;323,50875;1294,035
2002;"Verbrennung";"16";3;417,666666666667;1253
2002;"Wasser";"05";3;15,6666666666667;47
2002;"Wasser";"08";3;132,833333333333;398,5
2002;"Wasser";"09";7;685,071428571429;4795,5
2002;"Wasser";"14";2;40,5;81
2002;"Wasser";"16";2;211,9;423,8
2002;"Windeinheit";"01";23;1515,21739130435;34850
2002;"Windeinheit";"03";160;1627,8125;260450
2002;"Windeinheit";"04";6;2000;12000
2002;"Windeinheit";"05";114;1309,56140350877;149290
2002;"Windeinheit";"06";15;1213,33333333333;18200
2002;"Windeinheit";"07";15;1383,33333333333;20750
2002;"Windeinheit";"08";8;1287,5;10300
2002;"Windeinheit";"09";5;1200;6000
2002;"Windeinheit";"12";75;1490;111750
2002;"Windeinheit";"13";16;1368,75;21900
2002;"Windeinheit";"14";38;1515,78947368421;57600
2002;"Windeinheit";"15";102;1350,98039215686;137800
2002;"Windeinheit";"16";20;1560;31200
2003;"Biomasse";"03";8;502;4016
2003;"Biomasse";"05";1;285;285
2003;"Biomasse";"07";3;432;1296
2003;"Biomasse";"08";8;1326,125;10609
2003;"Biomasse";"09";11;607,590909090909;6683,5
2003;"Biomasse";"12";2;290;580
2003;"Biomasse";"14";9;1089,55555555556;9806
2003;"Biomasse";"15";1;247;247
2003;"Biomasse";"16";7;195,535714285714;1368,75
2003;"Gasverbrauchseinheit";"03";1;NA;NA
2003;"Gasverbrauchseinheit";"09";1;NA;NA
2003;"Geothermie";"05";18;1841,66666666667;33150
2003;"Geothermie";"10";4;2697,25;10789
2003;"Solareinheit";"01";38;4,23;160,74
2003;"Solareinheit";"02";2;5,41;10,82
2003;"Solareinheit";"03";212;34,0276886792453;7213,87
2003;"Solareinheit";"04";10;3,9714;39,714
2003;"Solareinheit";"05";448;12,523796875;5610,661
2003;"Solareinheit";"06";249;4,61116465863454;1148,18
2003;"Solareinheit";"07";128;61,1641328125;7829,009
2003;"Solareinheit";"08";1488;10,6217909946237;15805,225
2003;"Solareinheit";"09";1295;13,6436146718147;17668,481
2003;"Solareinheit";"10";13;4,68807692307692;60,945
2003;"Solareinheit";"11";3;14,52;43,56
2003;"Solareinheit";"12";14;10,6242857142857;148,74
2003;"Solareinheit";"13";18;3,23311111111111;58,196
2003;"Solareinheit";"14";33;4,88863636363636;161,325
2003;"Solareinheit";"15";10;2,2705;22,705
2003;"Solareinheit";"16";25;3,11796;77,949
2003;"Verbrennung";"01";7;5,47142857142857;38,3
2003;"Verbrennung";"02";3;171,333333333333;514
2003;"Verbrennung";"03";28;19,4675;545,09
2003;"Verbrennung";"05";26;117,75;3061,5
2003;"Verbrennung";"06";13;86,6915384615385;1126,99
2003;"Verbrennung";"07";7;105,4;737,8
2003;"Verbrennung";"08";37;102,66872972973;3798,743
2003;"Verbrennung";"09";28;288,184642857143;8069,17
2003;"Verbrennung";"10";3;200;600
2003;"Verbrennung";"11";4;400;1600
2003;"Verbrennung";"12";2;5,5;11
2003;"Verbrennung";"14";6;335,75;2014,5
2003;"Verbrennung";"15";11;91,5727272727273;1007,3
2003;"Verbrennung";"16";7;148,285714285714;1038
2003;"Wasser";"03";2;47,7;95,4
2003;"Wasser";"05";2;28,5;57
2003;"Wasser";"08";6;58,9166666666667;353,5
2003;"Wasser";"09";10;17,04;170,4
2003;"Wasser";"14";1;450;450
2003;"Wasser";"16";2;13;26
2003;"Windeinheit";"01";27;1733,33333333333;46800
2003;"Windeinheit";"03";72;1570,13888888889;113050
2003;"Windeinheit";"05";80;1350;108000
2003;"Windeinheit";"06";10;1015;10150
2003;"Windeinheit";"07";14;1553,57142857143;21750
2003;"Windeinheit";"08";13;1476,92307692308;19200
2003;"Windeinheit";"09";1;1500;1500
2003;"Windeinheit";"10";1;1200;1200
2003;"Windeinheit";"12";83;1646,98795180723;136700
2003;"Windeinheit";"13";25;1854,4;46360
2003;"Windeinheit";"14";13;1684,61538461538;21900
2003;"Windeinheit";"15";56;1736,60714285714;97250
2003;"Windeinheit";"16";18;1772,22222222222;31900
2004;"Biomasse";"01";5;540,8;2704
2004;"Biomasse";"03";36;401,888888888889;14468
2004;"Biomasse";"05";20;2201,55;44031
2004;"Biomasse";"06";5;249,6;1248
2004;"Biomasse";"07";9;340,444444444444;3064
2004;"Biomasse";"08";28;1465,71428571429;41040
2004;"Biomasse";"09";85;379,508823529412;32258,25
